Episode,Total Reward,Hits,False Positives,Repeats,Avg Loss
617,4.0,5,15,3,0.0
618,0.0,5,15,5,0.0
619,-12.0,2,18,2,0.0
620,10.0,5,15,0,0.0
621,2.0,4,16,1,0.0
622,-2.0,4,16,3,0.0
623,-4.0,3,17,1,0.0
624,-2.0,3,17,0,0.0
625,-22.0,1,19,4,0.0
626,0.0,5,15,5,0.0
627,12.0,6,14,2,0.0
628,0.0,4,16,2,0.0
629,12.0,6,14,2,0.0
630,4.0,5,15,3,0.0
631,-2.0,4,16,3,0.0
632,0.0,4,16,2,0.0
633,-2.0,4,16,3,0.0
634,10.0,6,14,3,0.0
635,6.0,5,15,2,0.0
636,18.0,7,13,2,0.0
637,-24.0,1,19,5,0.0
638,16.0,7,13,3,0.0
639,6.0,6,14,5,0.0
640,2.0,5,15,4,0.4067420040567716
641,-2.0,4,16,3,0.0
642,10.0,6,14,3,0.0
643,2.0,4,16,1,0.0
644,-10.0,2,18,1,0.0
645,14.0,6,14,1,0.0
646,-18.0,1,19,2,0.0
647,-10.0,2,18,1,0.0
648,-4.0,3,17,1,0.0
649,14.0,7,13,4,0.0
650,-6.0,3,17,2,0.0
651,-4.0,3,17,1,0.0
652,10.0,6,14,3,0.0
653,20.0,7,13,1,0.0
654,30.0,9,11,2,0.0
655,16.0,7,13,3,0.0
656,6.0,5,15,2,0.0
657,14.0,6,14,1,0.0
658,14.0,6,14,1,0.0
659,-8.0,2,18,0,0.0
660,2.0,4,16,1,0.0
661,26.0,8,12,1,0.0
662,6.0,5,15,2,0.0
663,0.0,4,16,2,0.0
664,30.0,9,11,2,0.0
665,-8.0,2,18,0,0.0
666,8.0,6,14,4,0.0
667,14.0,6,14,1,0.0
668,18.0,7,13,2,0.0
669,-8.0,3,17,3,0.0
670,-4.0,3,17,1,0.0
671,-6.0,3,17,2,0.0
672,-14.0,1,19,0,0.3955875138441722
673,-2.0,4,16,3,0.0
674,-10.0,2,18,1,0.0
675,-8.0,3,17,3,0.0
676,12.0,6,14,2,0.0
677,28.0,9,11,3,0.0
678,4.0,5,15,3,0.0
679,-4.0,4,16,4,0.0
680,-4.0,4,16,4,0.0
681,-10.0,2,18,1,0.0
682,-2.0,3,17,0,0.0
683,6.0,5,15,2,0.0
684,6.0,5,15,2,0.0
685,-6.0,3,17,2,0.0
686,-20.0,2,18,6,0.0
687,14.0,7,13,4,0.0
688,8.0,6,14,4,0.0
689,-16.0,1,19,1,0.0
690,-10.0,3,17,4,0.0
691,-24.0,0,20,2,0.0
692,-6.0,3,17,2,0.0
693,-4.0,4,16,4,0.0
694,-4.0,3,17,1,0.0
695,-6.0,3,17,2,0.0
696,0.0,4,16,2,0.0
697,10.0,6,14,3,0.0
698,-10.0,2,18,1,0.0
699,-14.0,2,18,3,0.0
700,10.0,6,14,3,0.0
701,4.0,5,15,3,0.0
702,12.0,6,14,2,0.0
